Tpye J Thermocouple	,Type K Thermocouple		,Time Recorded	
83.15938	,83.01875		,2020-05-03 20:01:25	
83.25781	,82.97656		,2020-05-03 20:01:27	
83.21563	,83.06094		,2020-05-03 20:01:28	
83.15938	,83.15938		,2020-05-03 20:01:29	
83.32812	,83.17344		,2020-05-03 20:01:31	
83.17344	,83.08906		,2020-05-03 20:01:32	
83.24375	,83.10313		,2020-05-03 20:01:33	
83.34219	,83.3		,2020-05-03 20:01:34	
83.21563	,83.15938		,2020-05-03 20:01:36	
83.28594	,83.10313		,2020-05-03 20:01:37	
83.3	,83.06094		,2020-05-03 20:01:38	
83.10313	,83.15938		,2020-05-03 20:01:39	
83.24375	,83.20156		,2020-05-03 20:01:41	
83.15938	,83.20156		,2020-05-03 20:01:42	
83.3	,83.17344		,2020-05-03 20:01:43	
83.25781	,83.25781		,2020-05-03 20:01:45	
83.17344	,83.01875		,2020-05-03 20:01:46	
83.3	,83.32812		,2020-05-03 20:01:47	
83.34219	,83.20156		,2020-05-03 20:01:48	
83.21563	,83.13125		,2020-05-03 20:01:50	
83.34219	,83.20156		,2020-05-03 20:01:51	
83.28594	,83.21563		,2020-05-03 20:01:52	
83.34219	,83.17344		,2020-05-03 20:01:54	
83.25781	,83.17344		,2020-05-03 20:01:55	
83.3	,83.06094		,2020-05-03 20:01:56	
83.28594	,83.15938		,2020-05-03 20:01:57	
83.20156	,83.24375		,2020-05-03 20:01:59	
83.28594	,83.17344		,2020-05-03 20:02:00	
83.28594	,83.28594		,2020-05-03 20:02:01	
83.3	,83.20156		,2020-05-03 20:02:02	
83.17344	,83.15938		,2020-05-03 20:02:04	
83.24375	,83.28594		,2020-05-03 20:02:05	
83.37031	,83.17344		,2020-05-03 20:02:06	
83.28594	,83.15938		,2020-05-03 20:02:08	
83.32812	,83.25781		,2020-05-03 20:02:09	
83.44063	,83.21563		,2020-05-03 20:02:10	
83.21563	,83.13125		,2020-05-03 20:02:11	
